wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.11573359299,2.2739038,0.17323028
7004.466181822088,2.0705853,0.19014673
7004.816647585736,1.7275826,0.15367664
7005.167130884795,1.3813349,0.20624049
7005.5176317201585,1.3175669,0.19731979
7005.868150092689,1.1094161,0.14126806
7006.218686003271,1.019594,0.18632004
7006.569239452789,1.0171238,0.12758642
7006.919810442107,0.58834565,0.15832481
7007.270398972115,0.25140297,0.1583427
7007.621005043678,0.081707954,0.10769604
7007.9716286576895,0.081707954,0.14661162
7008.322269815009,0.06375591,0.15048125
7008.672928516532,0.081707954,0.111765325
7009.023604763121,0.18672739,0.15490158
7009.37429855566,0.18672739,0.10412179
7009.725009895034,0.18672739,0.14077024
7010.0757387821095,0.18672739,0.15536398
7010.426485217775,0.1984746,0.107802086
7010.777249202897,0.1984746,0.16412301
7011.128030738366,0.22855125,0.15943334
7011.478829825047,0.34877875,0.11847623
7011.829646463832,0.34877875,0.17933156
7012.180480655586,0.34877875,0.14638962
7012.531332401192,0.34877875,0.21398273
7012.882201701538,0.2043263,0.22503953
7013.233088557487,0.2043263,0.15489046
7013.5839929699305,0.2245672,0.19223882
7013.934914939735,0.32215247,0.14697702
7014.285854467785,0.32215247,0.11404167
7014.636811554965,0.95243573,0.14604712
7014.98778620214,1.1044579,0.109778345
7015.338778410204,1.3959907,0.16798522
7015.689788180021,1.4838315,0.1777813
7016.040815512483,1.4838315,0.120837964
7016.391860408456,1.4838315,0.17977402
7016.742922868832,0.7888407,0.118108444
7017.094002894474,0.5950851,0.14830533
7017.445100486271,0.58312315,0.16532046
7017.796215645108,0.27808776,0.11355773
7018.147348371848,0.27808776,0.15940565
7018.498498667387,0.27808776,0.15277468
7018.849666532587,0.28759637,0.10898856
7019.200851968345,0.37871438,0.14545557
7019.552054975522,0.7663009,0.10902783
7019.903275555013,0.8785032,0.15394819
7020.254513707684,0.9141883,0.16301975
7020.605769434421,0.9141883,0.116141215
7020.957042736109,0.9794317,0.16082072
7021.308333613613,0.99942434,0.15631822
7021.65964206783,1.1081055,0.11805424
7022.010968099621,1.0933021,0.16318914
7022.362311709882,1.0933021,0.12206678
7022.713672899478,1.0933021,0.16664492
7023.065051669304,0.6782685,0.16945203
7023.416448020223,0.6482695,0.11142314
7023.7678619531225,0.26149422,0.15187094
7024.11929346889,0.26149422,0.11004461
7024.470742568391,0.26149422,0.14925504
7024.822209252519,0.96329284,0.15243156
7025.17369352214,1.1037741,0.121758625
7025.525195378141,1.1651936,0.16818283
7025.876714821408,1.1651936,0.15279941
7026.228251852809,1.1037741,0.11719714
7026.579806473236,1.1651936,0.16743165
7026.9313786835555,1.1651936,0.12231065
7027.282968484663,1.212867,0.16710767
7027.634575877422,1.2616476,0.16687542
7027.98620086273,1.512421,0.12628947
7028.337843441451,1.5268035,0.17460221
7028.689503614472,1.5268035,0.17459889
7029.041181382682,1.512421,0.13018972
7029.392876746946,1.4740686,0.18417002
7029.744589708159,0.8053399,0.12049373
7030.096320267187,0.55269265,0.14636084
7030.448068424926,0.20276792,0.15409023
7030.79983418224,0.08402853,0.11202055
7031.151617540027,0.08402853,0.15626246
7031.503418499149,0.08402853,0.11370349
7031.8552370604975,0.16113208,0.14352947
7032.2070732249595,0.2759864,0.14964
7032.558926993401,0.5517349,0.10737392
7032.910798366717,0.8001484,0.15556118
7033.262687345774,0.8239351,0.16312838
7033.614593931468,1.0275965,0.11786857
7033.966518124665,1.0275965,0.16588074
7034.31845992626,1.0275965,0.11452445
7034.670419337121,0.765762,0.1487965
7035.022396358135,0.5564696,0.15510505
7035.37439099019,0.524784,0.1162186
7035.726403234154,0.524784,0.16137125
7036.078433090922,0.524784,0.11301865
7036.430480561361,1.2709794,0.1509054
7036.782545646366,1.2709794,0.17371093
7037.134628346806,1.2709794,0.12839723
7037.486728663574,1.1857457,0.16972595
7037.838846597539,1.0462914,0.17255786
7038.190982149588,0.38538742,0.10727274
7038.543135320611,0.1309368,0.15873353
7038.895306111475,0.10271107,0.11291773
7039.247494523077,0.10271107,0.14155082
7039.599700556282,0.057864603,0.14958528
7039.95192421198,-0.06604332,0.113404505
7040.30416549106,-0.07703987,0.16126102
7040.65642439439,-0.06604332,0.10510704
7041.0087009228655,-0.06604332,0.14164107
7041.360995077353,-0.022325126,0.15447932
7041.713306858751,0.11731857,0.10634596
7042.065636267926,0.14430878,0.15645765
7042.417983305773,0.22927153,0.13863346
7042.770347973162,0.558627,0.14332128
7043.12273027098,0.74766254,0.18359308
7043.475130200119,0.82337725,0.12674783
7043.827547761444,0.85495865,0.15589087
7044.179982955854,0.85495865,0.15382811
7044.5324357842155,0.85495865,0.11490787
7044.8849062474255,0.85495865,0.16137789
7045.237394346352,0.85495865,0.11961179
7045.589900081892,0.06824637,0.14438358
7045.942423454912,0.05953951,0.16378354
7046.294964466305,0.05953951,0.11185265
7046.647523116957,0.05953951,0.14882636
7047.000099407739,0.05953951,0.12217652
7047.352693339546,0.09032939,0.15534365
7047.705304913248,0.09032939,0.17093746
7048.057934129741,-0.04822059,0.11609325
7048.410580989894,-0.20007563,0.1673258
7048.763245494603,-0.20007563,0.14863762
7049.115927644738,-0.20007563,0.14979891
7049.468627441188,-0.057811134,0.18557706
7049.821344884844,-0.057811134,0.13826686
7050.174079976573,-0.0069593918,0.17841049
7050.526832717274,-0.040475667,0.18146613
7050.8796031078155,0.083473004,0.12188274
7051.232391149087,-0.040475667,0.16750203
7051.585196841979,0.083473004,0.12125099
7051.938020187361,-0.038338836,0.15655732
7052.29086118613,0.05828098,0.16510725
7052.643719839155,-0.038338836,0.11536686
7052.9965961473345,0.05828098,0.15498601
7053.349490111536,0.05828098,0.11892961
7053.7024017326585,0.17300324,0.15947336
7054.05533101157,0.22385457,0.15909281
7054.408277949163,0.22385457,0.1191477
7054.761242546326,0.2212425,0.16615923
7055.11422480393,0.17300324,0.12341635
7055.467224722872,0.2212425,0.1683384
7055.820242304021,0.2212425,0.1604041
7056.173277548276,0.3471657,0.118162885
7056.526330456507,0.41521698,0.15910013
7056.879401029611,0.41521698,0.144866
7057.232489268456,0.41521698,0.1240826
7057.585595173937,0.34921208,0.15833046
7057.938718746942,0.33023128,0.12037926
7058.2918599883415,0.23717217,0.16502684
7058.645018899035,0.10978125,0.1484444
7058.99819547989,0.10978125,0.11067837
7059.351389731806,0.10978125,0.15708481
7059.704601655654,0.06799897,0.11238078
7060.057831252331,0.06799897,0.1510161
7060.411078522708,0.067822084,0.14858812
7060.764343467675,0.067822084,0.11520076
7061.117626088125,0.06799897,0.15316357
7061.470926384927,0.070470065,0.114470534
7061.824244358981,0.08636254,0.15758225
7062.177580011156,0.20266628,0.15824
7062.530933342351,0.22211377,0.11324828
7062.884304353437,0.22211377,0.15321468
7063.237693045312,0.55159587,0.11818623
7063.591099418847,0.913346,0.16514231
7063.944523474934,1.3474469,0.17119075
7064.297965214463,1.6444356,0.13390681
7064.651424638308,1.7266271,0.18787277
7065.004901747364,1.9814297,0.1376621
7065.358396542505,2.3856843,0.182266
7065.711909024621,2.782984,0.18258688
7066.0654391946055,2.782984,0.1269704
7066.418987053328,2.782984,0.17607717
7066.772552601688,2.6543486,0.13864018
7067.126135840558,2.5178673,0.17751941
7067.479736770835,2.0944006,0.1984211
7067.833355393392,1.5833911,0.131717
7068.186991709126,0.98833674,0.17361154
7068.540645718911,0.54006696,0.12508212
7068.894317423637,0.54006696,0.16681893
7069.2480068241985,0.54006696,0.16001341
7069.601713921465,0.5753283,0.118057266
7069.955438716337,0.6692495,0.16885456
7070.3091812096845,0.7226706,0.15686655
7070.66294140241,0.7226706,0.13561559
7071.016719295382,0.7226706,0.16518347
7071.3705148895015,0.39024556,0.12242915
7071.724328185641,0.34587288,0.17261748
7072.078159184692,0.34587288,0.15270051
7072.432007887547,0.39024556,0.13104896
7072.785874295078,0.40792036,0.16135512
7073.139758408186,0.780869,0.11791344
7073.493660227742,1.1030841,0.17159118
7073.847579754646,1.317498,0.17729402
7074.2015169897695,1.317498,0.13776201
7074.555471934014,1.317498,0.18504512
7074.90944458825,0.8122832,0.12181716
7075.263434953371,0.46543968,0.16549724
7075.617443030271,0.2149603,0.16530581
7075.971468819821,0.2149603,0.11376891
7076.325512322923,0.2149603,0.16106528
7076.679573540447,0.25255355,0.11482132
7077.0336524732875,0.5748132,0.16011977
7077.3877491223375,0.86878026,0.1686354
7077.741863488471,1.492609,0.13963223
7078.095995572587,1.492609,0.18175331
7078.4501453755565,1.492609,0.12427286
7078.804312898284,0.87451255,0.17213717
7079.158498141638,0.87451255,0.16475424
7079.512701106522,0.87451255,0.119484626
7079.866921793808,1.2796222,0.18143243
7080.221160204389,1.5851047,0.13868785
7080.575416339159,2.1661508,0.18498416
7080.929690198992,2.2119713,0.16971968
7081.283981784787,2.2119713,0.13603523
7081.638291097418,2.2119713,0.18073927
7081.992618137786,1.9393752,0.13075556
7082.346962906764,1.7664344,0.18385063
7082.701325405253,1.5902427,0.17673348
7083.055705634125,1.0418597,0.11661017
7083.410103594276,1.0130019,0.17828938
7083.764519286598,1.0130019,0.13035478
7084.118952711967,1.0130019,0.18052372
7084.473403871282,1.3574972,0.17247713
7084.827872765417,1.7453007,0.15251403
7085.182359395273,1.8338723,0.18247643
7085.536863761725,2.241148,0.12646416
7085.891385865672,2.4380698,0.20353529
7086.245925707989,2.4380698,0.16279882
7086.600483289571,2.241148,0.149083
7086.955058611311,1.9486063,0.191417
7087.309651674083,1.286387,0.12591891
7087.664262478791,0.88717383,0.17337202
7088.018891026305,0.88717383,0.12545817
7088.373537317522,0.88717383,0.16750027
7088.728201353337,1.2799624,0.17551726
7089.082883134623,1.5475446,0.13459761
7089.437582662282,1.7817799,0.19351801
7089.792299937189,1.7817799,0.1560538
7090.147034960243,1.7817799,0.20517282
7090.501787732322,1.7422096,0.20527442
7090.856558254325,1.7422096,0.14254689
7091.211346527127,1.7422096,0.18953212
7091.566152551624,2.109526,0.14364314
7091.920976328711,2.109526,0.18368986
7092.27581785926,2.109526,0.19090691
7092.630677144177,2.1087117,0.14280172
7092.9855541843335,1.5598468,0.17455377
7093.3404489806335,0.9560665,0.12345456
7093.695361533951,0.72367674,0.16011786
7094.0502918451875,0.72367674,0.17046292
7094.405239915218,0.72367674,0.12422318
7094.7602057449385,0.774058,0.17066671
7095.115189335244,0.9732993,0.1215348
7095.4701906870105,1.0091407,0.162396
7095.825209801139,1.0788552,0.16939121
7096.180246678506,1.6658481,0.12672742
7096.535301320012,2.1628914,0.17790243
7096.890373726533,2.1628914,0.13203673
7097.245463898973,2.1628914,0.18816221
7097.600571838205,1.9681247,0.19367662
7097.955697545125,1.9681247,0.13309558
7098.310841020631,1.9681247,0.17370945
7098.666002265596,2.1223752,0.12058094
7099.021181280925,2.1733632,0.17290545
7099.376378067491,2.1733632,0.1665333
7099.731592626199,2.1733632,0.1428018
7100.0868249579225,2.1679292,0.17954417
7100.442075063566,2.1679292,0.12687105
7100.797342944005,2.0724778,0.17369945
7101.152628600135,1.564414,0.122660935
7101.507932032853,0.97219074,0.16140556
7101.863253243034,0.9708712,0.1718972
7102.218592231582,0.873347,0.11937168
7102.573948999372,0.37076455,0.15636867
7102.929323547301,0.3430271,0.11627862
7103.284715876265,0.14739661,0.15556796
7103.64012598714,0.032693718,0.15972576
7103.99555388083,0.032693718,0.11774985
7104.350999558211,0.032693718,0.16344734
7104.706463020186,0.032693718,0.11405902
7105.061944267632,0.05631936,0.15694742
7105.4174433014505,0.05631936,0.1620201
7105.77296012252,-0.027400898,0.11473215
7106.128494731736,0.05631936,0.1671475
7106.484047129997,0.16565584,0.11317576
7106.839617318177,-0.01474723,0.15748236
7107.195205297182,-0.01474723,0.16357014
7107.5508110678875,-0.01474723,0.11821877
7107.906434631197,-0.041286666,0.15522298
7108.262075987987,-0.041286666,0.111986235
7108.617735139163,-0.050092626,0.15162945
7108.9734120856,-0.050092626,0.11638883
7109.329106828196,-0.029794026,0.15125163
7109.684819367848,0.08776053,0.15499099
7110.0405497054335,0.14207444,0.118767016
7110.396297841856,0.19737357,0.15575662
7110.752063777991,0.25960988,0.12006242
7111.107847514745,0.32165104,0.16603078
7111.463649052995,0.47355697,0.15939024
7111.819468393644,0.47355697,0.12002114
7112.175305537569,0.47355697,0.15615128
7112.531160485669,0.20829663,0.12079469
7112.887033238841,0.12020457,0.1485042
7113.242923797961,0.0721222,0.15706731
7113.598832163936,0.0721222,0.11629296
7113.954758337642,0.12020457,0.16548188
7114.3107023199755,0.12020457,0.11251281
7114.666664111837,-0.05947341,0.16203041
7115.022643714102,-0.079881765,0.12259665
7115.378641127676,-0.079881765,0.16069414
7115.734656353437,-0.079881765,0.16539559
7116.090689392288,0.034398086,0.11489151
7116.446740245109,0.15766695,0.1602226
7116.802808912804,0.15766695,0.12328523
7117.15889539625,0.15766695,0.15766348
7117.5149996963455,0.059697248,0.15998821
7117.871121813991,0.055460628,0.122224495
7118.22726175006,0.032642473,0.1588218
7118.583419505462,0.032642473,0.11667035
7118.939595081072,0.022582075,0.16916804
7119.295788477797,0.017484752,0.14278094
7119.651999696514,0.017484752,0.1259374
7120.008228738129,0.022582075,0.16410986
7120.36447560352,0.022582075,0.12218244
7120.720740293586,0.14330651,0.16103204
7121.077022809224,0.2524927,0.12188426
7121.433323151314,0.2524927,0.1579268
7121.789641320761,0.2524927,0.15849617
7122.145977318443,0.09354909,0.11693371
7122.502331145267,0.050352495,0.15708719
7122.858702802109,0.009237877,0.11872879
7123.215092289877,0.050352495,0.1646914
7123.571499609449,0.050352495,0.14584143
7123.927924761723,0.1837211,0.1242593
7124.284367747599,0.31542552,0.16546415
7124.640828567956,0.39568493,0.1213227
7124.9973072237,0.4731574,0.16084205
7125.353803715708,0.4731574,0.12270858
7125.7103180448885,0.39568493,0.15321313
7126.066850212118,0.32344356,0.1508948
7126.423400218304,0.09810508,0.119893335
7126.779968064326,0.09312403,0.15920499
