wave[A],flux[1e-17cgs],err[1e-17cgs]
7004.115733484671,0.8532863,0.11170304
7004.466181713771,0.5586554,0.07868905
7004.816647477406,0.26659715,0.12125117
7005.167130776467,0.26659715,0.096388556
7005.517631611818,0.26659715,0.12708746
7005.868149984342,0.42125517,0.1394277
7006.218685894926,0.78663963,0.09557686
7006.5692393444315,0.9602299,0.11877062
7006.919810333751,0.99720716,0.12615803
7007.270398863747,0.99720716,0.08321964
7007.621004935312,0.9602299,0.11060737
7007.9716285493105,0.95907986,0.08115555
7008.322269706632,0.95907986,0.111829996
7008.672928408143,0.95907986,0.11056709
7009.023604654725,0.95907986,0.08297493
7009.3742984472665,0.95907986,0.11331065
7009.725009786629,0.8751146,0.11167992
7010.075738673705,0.62625206,0.074561566
7010.4264851093585,0.42205977,0.10664716
7010.777249094482,0.13436916,0.07131204
7011.128030629939,0.13436916,0.09697704
7011.4788297166215,0.13436916,0.09499342
7011.829646355393,0.24094902,0.07830717
7012.180480547142,0.68727034,0.13429968
7012.53133229275,0.8878935,0.14654818
7012.882201593083,1.2296962,0.1177078
7013.233088449034,1.2296962,0.17900075
7013.583992861465,1.2296962,0.11196577
7013.934914831264,1.1584615,0.14024384
7014.285854359315,1.120836,0.122807726
7014.636811446483,1.0616654,0.082852304
7014.98778609366,1.0508652,0.11658841
7015.3387783017115,1.0508652,0.11453501
7015.6897880715305,1.0616654,0.08151519
7016.04081540398,1.2313384,0.114840314
7016.391860299954,1.3178309,0.08681867
7016.742922760317,1.3178309,0.12064507
7017.094002785954,1.2313384,0.106642194
7017.445100377753,1.1971991,0.08534534
7017.796215536577,0.9401346,0.12237227
7018.147348263319,0.892216,0.096471176
7018.498498558845,0.73743135,0.08984797
7018.849666424047,0.73743135,0.10704176
7019.200851859792,0.69279563,0.08055586
7019.552054866971,0.69279563,0.1104763
7019.90327544645,0.745107,0.103287525
7020.254513599115,1.0042123,0.077408776
7020.6057693258535,1.173396,0.12459466
7020.957042627529,1.3222405,0.08722612
7021.308333505036,1.4000612,0.11026907
7021.659641959239,1.4000612,0.11414257
7022.010967991032,1.400936,0.08162097
7022.362311601281,1.4000612,0.12497374
7022.713672790879,1.3514398,0.11855318
7023.065051560691,0.8869425,0.080030836
7023.416447911605,0.74238765,0.11177256
7023.767861844506,0.5687195,0.07378889
7024.1192933602615,0.32269236,0.09949137
7024.470742459764,0.24675168,0.097321324
7024.822209143879,0.24675168,0.06920558
7025.173693413495,0.24675168,0.103989854
7025.525195269497,0.42478767,0.08948614
7025.876714712753,0.54977953,0.08885501
7026.2282517441545,0.9236751,0.113362685
7026.579806364569,0.9460467,0.08206374
7026.931378574891,1.190693,0.10989757
7027.282968375986,1.3594626,0.12616205
7027.634575768747,1.3817419,0.07916452
7027.986200754041,1.4911952,0.1387073
7028.337843332757,1.5805889,0.07535742
7028.6895035057805,1.5805889,0.121353276
7029.041181273978,1.5995251,0.12181686
7029.392876638243,1.5995251,0.08618616
7029.744589599443,1.5805889,0.121680334
7030.096320158474,1.5995251,0.1164882
7030.448068316199,1.5114416,0.08192022
7030.799834073516,1.4865586,0.11923694
7031.151617431289,1.4865586,0.091373675
7031.503418390406,1.1833543,0.12553215
7031.8552369517565,1.1833543,0.12545428
7032.207073116206,1.1833543,0.081832506
7032.558926884649,1.2177417,0.12183411
7032.910798257953,1.2177417,0.10228909
7033.262687237011,1.2177417,0.09002889
7033.614593822693,1.1826583,0.117851675
7033.966518015891,1.1636937,0.084693804
7034.318459817474,0.87981933,0.11471757
7034.670419228329,0.7543149,0.11145576
7035.022396249345,0.41902915,0.07733462
7035.374390881388,0.30731136,0.10248826
7035.726403125353,0.29766783,0.07288043
7036.078432982108,0.29766783,0.097178645
7036.430480452549,0.29766783,0.10821477
7036.782545537541,0.57159317,0.07904696
7037.134628237983,0.9395006,0.119432054
7037.486728554738,1.0565844,0.083964154
7037.8388464886975,1.0705832,0.10981696
7038.190982040749,1.0705832,0.120057635
7038.543135211759,1.0705832,0.08648371
7038.895306002625,0.80908877,0.11246601
7039.247494414214,0.80908877,0.10381179
7039.599700447414,0.80908877,0.07913203
7039.951924103114,0.79938966,0.12540574
7040.304165382182,0.8490636,0.08501212
7040.656424285513,0.9552904,0.10496715
7041.008700813975,0.9552904,0.10514305
7041.360994968465,0.69801503,0.08134336
7041.71330674985,0.6521044,0.11252755
7042.065636159026,0.21158735,0.07535896
7042.417983196861,0.089187585,0.117417395
7042.770347864244,0.06844049,0.116384104
7043.122730162065,0.03602046,0.08091521
7043.47513009119,0.010441564,0.11664317
7043.827547652518,0.010441564,0.09175549
7044.179982846915,0.010441564,0.083969265
7044.532435675278,0.14123927,0.10378685
7044.884906138475,0.4472073,0.0774628
7045.237394237403,0.99927413,0.12215637
7045.589899972931,0.99927413,0.12067824
7045.942423345947,0.99927413,0.08498339
7046.29496435734,0.9150277,0.1080815
7046.64752300798,0.68020046,0.08245228
7047.000099298763,0.68020046,0.10713586
7047.3526932305585,0.68020046,0.11393447
7047.705304804262,1.1191199,0.08739656
7048.057934020742,1.4128813,0.12556133
7048.410580880896,1.4262826,0.09191692
7048.763245385593,1.4325305,0.12957929
7049.115927535722,1.5128989,0.13827267
7049.468627332174,1.6650919,0.10633229
7049.821344775817,1.8648393,0.15789552
7050.174079867548,1.8648393,0.12272138
7050.526832608237,1.8648393,0.101216964
7050.8796029987725,1.6959131,0.12566634
7051.232391040046,1.4751484,0.08622187
7051.585196732925,1.1696478,0.12352941
7051.938020078309,0.8353435,0.114670515
7052.2908610770655,0.5613737,0.080859415
7052.643719730093,0.42335102,0.11853429
7052.996596038259,0.31717885,0.07734215
7053.3494900024625,0.26811343,0.105529405
7053.702401623572,0.26811343,0.107632294
7054.055330902479,0.26811343,0.077144936
7054.4082778400725,0.18199667,0.10188309
7054.761242437224,0.18199667,0.07761643
7055.114224694828,0.22356942,0.10671566
7055.467224613758,0.18199667,0.112810045
7055.820242194909,0.1770047,0.08131251
7056.173277439152,0.1770047,0.104538724
7056.526330347384,0.09817351,0.08128271
7056.879400920475,0.05755026,0.111856595
7057.232489159316,-0.042846847,0.10655575
7057.585595064797,-0.042846847,0.07610669
7057.93871863779,-0.042846847,0.102821566
7058.291859879192,0.038175166,0.09072708
7058.645018789872,0.073842,0.087149456
7058.998195370729,0.073842,0.10617694
7059.351389622633,0.15125357,0.07565238
7059.704601546482,0.038175166,0.09598736
7060.057831143146,0.15125357,0.10891747
7060.411078413517,0.04050009,0.07410953
7060.764343358487,0.15125357,0.10822615
7061.1176259789245,0.19451211,0.07271864
7061.470926275729,0.21453644,0.099535294
7061.824244249769,0.4067443,0.11312887
7062.177579901946,0.5085661,0.08276224
7062.530933233129,0.588326,0.11772955
7062.884304244216,0.588326,0.08084289
7063.237692936079,0.588326,0.11138142
7063.591099309608,0.3281742,0.10892281
7063.944523365696,0.23996986,0.076241285
7064.297965105214,0.23996986,0.10714247
7064.651424529059,0.3281742,0.082333684
7065.004901638104,0.38881376,0.12303044
7065.358396433238,0.42304567,0.10957565
7065.711908915357,0.47068667,0.07761244
7066.065439085328,0.47068667,0.112307124
7066.418986944052,0.47527373,0.07585644
7066.7725524924,0.60020524,0.11072569
7067.1261357312715,0.6275514,0.11332694
7067.479736661536,0.6275514,0.08169202
7067.833355284094,0.6275514,0.111164905
7068.186991599817,0.29827005,0.076597504
7068.540645609595,0.17933396,0.114278875
7068.894317314323,0.01260184,0.109976195
7069.248006714872,0.01260184,0.07567801
7069.60171381214,0.09109253,0.10393258
7069.955438606999,0.06824581,0.09261435
7070.309181100349,0.06824581,0.08296144
7070.6629412930615,0.06824581,0.10567162
7071.0167191860355,0.06824581,0.08378833
7071.370514780143,0.04380854,0.10777817
7071.724328076276,0.006136491,0.09072714
7072.078159075329,-0.03493227,0.088166915
7072.432007778171,0.006136491,0.12129161
7072.785874185704,0.006136491,0.08130552
7073.139758298799,-0.03493227,0.0984366
7073.493660118357,0.019190699,0.0820248
7073.8475796452485,0.022807818,0.08448844
7074.201516880374,0.022807818,0.10417828
7074.555471824606,0.028989002,0.075178415
7074.909444478836,0.1346589,0.11091435
7075.263434843959,0.14741643,0.09279089
7075.617442920846,0.16905564,0.0895515
7075.971468710398,0.24564727,0.11099105
7076.325512213487,0.3395025,0.08460402
7076.679573431005,0.7055362,0.12175979
7077.033652363847,0.77153146,0.099711515
7077.387749012885,0.77153146,0.09373684
7077.74186337902,0.7055362,0.11961173
7078.095995463123,0.34606677,0.07841445
7078.450145266095,0.30997187,0.10241689
7078.8043127888095,0.23140673,0.09156778
7079.158498032166,0.17450343,0.084056176
7079.512700997037,0.10157937,0.10464987
7079.866921684317,0.10157937,0.08218811
7080.2211600948995,0.061055694,0.10507398
7080.575416229658,0.10157937,0.08894822
7080.9296900894915,0.10157937,0.08628077
7081.283981675275,0.051234562,0.1046962
7081.638290987908,0.027965285,0.07575603
7081.992618028263,0.027965285,0.10774345
7082.346962797242,0.027965285,0.09119207
7082.701325295718,0.08166228,0.086872935
7083.055705524585,0.08166228,0.104980044
7083.410103484737,0.09228939,0.07833826
7083.764519177047,0.08166228,0.1169443
7084.118952602417,0.09228939,0.099380404
7084.47340376172,0.09228939,0.09794964
7084.8278726558565,0.16489695,0.115055405
7085.182359285701,0.1813064,0.07796546
7085.536863652153,0.1813064,0.10838201
7085.891385756088,0.1813064,0.08815249
7086.2459255983995,0.079964355,0.08337405
7086.600483179983,0.079964355,0.10338535
7086.9550585017105,0.079964355,0.074269444
7087.309651564485,0.0805002,0.09908141
7087.66426236918,0.11121424,0.089145325
7088.018890916688,0.11121424,0.08512239
7088.373537207907,0.10820216,0.103685476
7088.728201243709,0.0805002,0.074165426
7089.082883024997,0.019317528,0.104771234
7089.437582552643,0.019317528,0.08465754
7089.792299827551,0.019317528,0.120550774
7090.147034850594,0.061428893,0.12680551
7090.501787622673,0.14632922,0.08959603
7090.856558144664,0.15285791,0.12068545
